Time Slot,Distance(m),FreeSpacePathLossWithoutAntennas(dB),Power(dBm),PathGain(dB),TransmissionLoss(dB),PathLoss(dB),ExcessPathLoss(dB),Phase(deg),FreeSpacePathLoss(dB),MeanTimeOfArrival(sec)
164,546.819,93.2316,-94.707,-101.657,101.657,101.657,3.2076,-67.6205,98.4498,1.94E-06
165,689.887,95.2512,-127.636,-134.586,134.586,134.586,31.2318,117.359,103.354,2.70E-06
166,547.363,93.2402,-96.0093,-102.96,102.96,102.96,4.47574,74.4019,98.4839,1.93E-06
167,547.91,93.2489,-93.8472,-100.798,100.798,100.798,2.27741,-162.372,98.5201,1.94E-06
168,548.458,93.2576,-93.8908,-100.841,100.841,100.841,2.28267,-57.9609,98.5585,1.94E-06
169,549.009,93.2663,-93.7441,-100.694,100.694,100.694,2.09525,65.623,98.5992,1.95E-06
170,549.563,93.2751,-93.2691,-100.219,100.219,100.219,1.57717,153.767,98.6423,1.95E-06
171,550.119,93.2839,-92.5032,-99.4535,99.4535,99.4535,0.765682,-96.7758,98.6878,1.95E-06
172,550.677,93.2927,-91.9227,-98.873,98.873,98.873,0.136982,-11.8931,98.7361,1.95E-06
173,551.237,93.3015,-92.5263,-99.4766,99.4766,99.4766,0.689602,89.7536,98.787,1.95E-06
174,551.8,93.3104,-91.2672,-98.2176,98.2176,98.2176,-0.62334,162.534,98.8409,1.95E-06
175,552.365,93.3193,-88.1609,-95.1113,95.1113,95.1113,-3.78634,-105.522,98.8976,1.95E-06
176,690.084,95.2537,-117.981,-124.931,124.931,124.931,21.3402,62.5398,103.591,2.78E-06
177,552.932,93.3282,-88.9932,-95.9435,95.9435,95.9435,-3.0139,-9.69303,98.9574,1.96E-06
178,553.5,93.3371,-90.8013,-97.7517,97.7517,97.7517,-1.26852,56.5913,99.0202,1.98E-06
179,554.07,93.3461,-89.0857,-96.036,96.036,96.036,-3.05003,110.181,99.086,1.98E-06
180,554.643,93.355,-87.5464,-94.4968,94.4968,94.4968,-4.65807,-175.739,99.1549,1.98E-06
181,555.218,93.364,-90.2403,-97.1906,97.1906,97.1906,-2.03591,-111.13,99.2265,1.98E-06
182,555.794,93.3731,-89.7635,-96.7139,96.7139,96.7139,-2.58708,-85.0363,99.301,1.98E-06
183,556.372,93.3821,-88.0443,-94.9946,94.9946,94.9946,-4.38339,-25.2897,99.378,1.98E-06
184,556.952,93.3911,-88.3769,-95.3272,95.3272,95.3272,-4.13029,26.8184,99.4575,1.98E-06
185,557.534,93.4002,-88.0972,-95.0476,95.0476,95.0476,-4.49181,69.1852,99.5394,1.98E-06
186,558.116,93.4093,-88.4421,-95.3925,95.3925,95.3925,-4.23102,121.539,99.6235,1.98E-06
187,690.275,95.2561,-120.831,-127.782,127.782,127.782,23.9741,-12.051,103.808,2.73E-06
